,Date,Open,High,Low,Close,Volume
258,2019-08-10 18:00-00,46200,46600,45000,45350,12872916
259,2019-08-10 19:00-00,46200,46600,45000,45350,12872916
260,2019-08-10 20:00-00,46200,46600,45000,45350,12872916
261,2019-08-10 21:00-00,46200,46600,45000,45350,12872916
262,2019-08-10 22:00-00,46200,46600,45000,45350,12872916
263,2019-08-10 23:00-00,46200,46600,45000,45350,12872916
264,2019-08-11 00:00-00,46200,46600,45000,45350,12872916
265,2019-08-11 01:00-00,46200,46600,45000,45350,12872916
266,2019-08-11 02:00-00,46200,46600,45000,45350,12872916
267,2019-08-11 03:00-00,46200,46600,45000,45350,12872916
268,2019-08-11 04:00-00,46200,46600,45000,45350,12872916
269,2019-08-11 05:00-00,46200,46600,45000,45350,12872916
270,2019-08-11 06:00-00,46200,46600,45000,45350,12872916
271,2019-08-11 07:00-00,46200,46600,45000,45350,12872916
272,2019-08-11 08:00-00,46200,46600,45000,45350,12872916
273,2019-08-11 09:00-00,46200,46600,45000,45350,12872916
274,2019-08-11 10:00-00,46200,46600,45000,45350,12872916
275,2019-08-11 11:00-00,46200,46600,45000,45350,12872916
276,2019-08-11 12:00-00,46200,46600,45000,45350,12872916
277,2019-08-11 13:00-00,46200,46600,45000,45350,12872916
278,2019-08-11 14:00-00,46200,46600,45000,45350,12872916
279,2019-08-11 15:00-00,46200,46600,45000,45350,12872916
280,2019-08-11 16:00-00,46200,46600,45000,45350,12872916
281,2019-08-11 17:00-00,46200,46600,45000,45350,12872916
282,2019-08-11 18:00-00,46200,46600,45000,45350,12872916
283,2019-08-11 19:00-00,46200,46600,45000,45350,12872916
284,2019-08-11 20:00-00,46200,46600,45000,45350,12872916
285,2019-08-11 21:00-00,46200,46600,45000,45350,12872916
286,2019-08-11 22:00-00,46200,46600,45000,45350,12872916
287,2019-08-11 23:00-00,46200,46600,45000,45350,12872916
288,2019-08-12 00:00-00,46200,46600,45000,45350,12872916
289,2019-08-12 01:00-00,46200,46600,45000,45350,12872916
290,2019-08-12 02:00-00,46200,46600,45000,45350,12872916
291,2019-08-12 03:00-00,46200,46600,45000,45350,12872916
292,2019-08-12 04:00-00,46200,46600,45000,45350,12872916
293,2019-08-12 05:00-00,46200,46600,45000,45350,12872916
294,2019-08-12 06:00-00,46200,46600,45000,45350,12872916
295,2019-08-12 07:00-00,46200,46600,45000,45350,12872916
296,2019-08-12 08:00-00,46200,46600,45000,45350,12872916
297,2019-08-12 09:00-00,46200,46600,45000,45350,12872916
298,2019-08-12 10:00-00,46200,46600,45000,45350,12872916
299,2019-08-12 11:00-00,46200,46600,45000,45350,12872916
300,2019-08-12 12:00-00,46200,46600,45000,45350,12872916
301,2019-08-12 13:00-00,46200,46600,45000,45350,12872916
302,2019-08-12 14:00-00,46200,46600,45000,45350,12872916
303,2019-08-12 15:00-00,46200,46600,45000,45350,12872916
304,2019-08-12 16:00-00,46200,46600,45000,45350,12872916
305,2019-08-12 17:00-00,46200,46600,45000,45350,12872916
306,2019-08-12 18:00-00,46200,46600,45000,45350,12872916
307,2019-08-12 19:00-00,46200,46600,45000,45350,12872916
308,2019-08-12 20:00-00,46200,46600,45000,45350,12872916
309,2019-08-12 21:00-00,46200,46600,45000,45350,12872916
310,2019-08-12 22:00-00,46200,46600,45000,45350,12872916
311,2019-08-12 23:00-00,46200,46600,45000,45350,12872916
312,2019-08-13 00:00-00,46200,46600,45000,45350,12872916
313,2019-08-13 01:00-00,46200,46600,45000,45350,12872916
314,2019-08-13 02:00-00,46200,46600,45000,45350,12872916
315,2019-08-13 03:00-00,46200,46600,45000,45350,12872916
316,2019-08-13 04:00-00,46200,46600,45000,45350,12872916
317,2019-08-13 05:00-00,46200,46600,45000,45350,12872916
318,2019-08-13 06:00-00,46200,46600,45000,45350,12872916
319,2019-08-13 07:00-00,46200,46600,45000,45350,12872916
320,2019-08-13 08:00-00,46200,46600,45000,45350,12872916
321,2019-08-13 09:00-00,46200,46600,45000,45350,12872916
322,2019-08-13 10:00-00,46200,46600,45000,45350,12872916
323,2019-08-13 11:00-00,46200,46600,45000,45350,12872916
324,2019-08-13 12:00-00,46200,46600,45000,45350,12872916
325,2019-08-13 13:00-00,46200,46600,45000,45350,12872916
326,2019-08-13 14:00-00,46200,46600,45000,45350,12872916
327,2019-08-13 15:00-00,46200,46600,45000,45350,12872916
328,2019-08-13 16:00-00,46200,46600,45000,45350,12872916
329,2019-08-13 17:00-00,46200,46600,45000,45350,12872916
330,2019-08-13 18:00-00,46200,46600,45000,45350,12872916
331,2019-08-13 19:00-00,46200,46600,45000,45350,12872916
332,2019-08-13 20:00-00,46200,46600,45000,45350,12872916
333,2019-08-13 21:00-00,46200,46600,45000,45350,12872916
334,2019-08-13 22:00-00,46200,46600,45000,45350,12872916
335,2019-08-13 23:00-00,46200,46600,45000,45350,12872916
336,2019-08-14 00:00-00,46200,46600,45000,45350,12872916
337,2019-08-14 01:00-00,46200,46600,45000,45350,12872916
338,2019-08-14 02:00-00,46200,46600,45000,45350,12872916
339,2019-08-14 03:00-00,46200,46600,45000,45350,12872916
340,2019-08-14 04:00-00,46200,46600,45000,45350,12872916
341,2019-08-14 05:00-00,46200,46600,45000,45350,12872916
342,2019-08-14 06:00-00,46200,46600,45000,45350,12872916
343,2019-08-14 07:00-00,46200,46600,45000,45350,12872916
344,2019-08-14 08:00-00,46200,46600,45000,45350,12872916
345,2019-08-14 09:00-00,46200,46600,45000,45350,12872916
346,2019-08-14 10:00-00,46200,46600,45000,45350,12872916
347,2019-08-14 11:00-00,46200,46600,45000,45350,12872916
348,2019-08-14 12:00-00,46200,46600,45000,45350,12872916
349,2019-08-14 13:00-00,46200,46600,45000,45350,12872916
350,2019-08-14 14:00-00,46200,46600,45000,45350,12872916
351,2019-08-14 15:00-00,46200,46600,45000,45350,12872916
352,2019-08-14 16:00-00,46200,46600,45000,45350,12872916
353,2019-08-14 17:00-00,46200,46600,45000,45350,12872916
354,2019-08-14 18:00-00,46200,46600,45000,45350,12872916
355,2019-08-14 19:00-00,46200,46600,45000,45350,12872916
356,2019-08-14 20:00-00,46200,46600,45000,45350,12872916
357,2019-08-14 21:00-00,46200,46600,45000,45350,12872916
358,2019-08-14 22:00-00,46200,46600,45000,45350,12872916
359,2019-08-14 23:00-00,46200,46600,45000,45350,12872916
360,2019-08-15 00:00-00,46200,46600,45000,45350,12872916
361,2019-08-15 01:00-00,46200,46600,45000,45350,12872916
362,2019-08-15 02:00-00,46200,46600,45000,45350,12872916
363,2019-08-15 03:00-00,46200,46600,45000,45350,12872916
364,2019-08-15 04:00-00,46200,46600,45000,45350,12872916
365,2019-08-15 05:00-00,46200,46600,45000,45350,12872916
366,2019-08-15 06:00-00,46200,46600,45000,45350,12872916
367,2019-08-15 07:00-00,46200,46600,45000,45350,12872916
368,2019-08-15 08:00-00,46200,46600,45000,45350,12872916
369,2019-08-15 09:00-00,46200,46600,45000,45350,12872916
370,2019-08-15 10:00-00,46200,46600,45000,45350,12872916
371,2019-08-15 11:00-00,46200,46600,45000,45350,12872916
372,2019-08-15 12:00-00,46200,46600,45000,45350,12872916
373,2019-08-15 13:00-00,46200,46600,45000,45350,12872916
374,2019-08-15 14:00-00,46200,46600,45000,45350,12872916
375,2019-08-15 15:00-00,46200,46600,45000,45350,12872916
376,2019-08-15 16:00-00,46200,46600,45000,45350,12872916
377,2019-08-15 17:00-00,46200,46600,45000,45350,12872916
378,2019-08-15 18:00-00,46200,46600,45000,45350,12872916
379,2019-08-15 19:00-00,46200,46600,45000,45350,12872916
380,2019-08-15 20:00-00,46200,46600,45000,45350,12872916
381,2019-08-15 21:00-00,46200,46600,45000,45350,12872916
382,2019-08-15 22:00-00,46200,46600,45000,45350,12872916
383,2019-08-15 23:00-00,46200,46600,45000,45350,12872916
384,2019-08-16 00:00-00,46200,46600,45000,45350,12872916
385,2019-08-16 01:00-00,46200,46600,45000,45350,12872916
386,2019-08-16 02:00-00,46200,46600,45000,45350,12872916
387,2019-08-16 03:00-00,46200,46600,45000,45350,12872916
388,2019-08-16 04:00-00,46200,46600,45000,45350,12872916
389,2019-08-16 05:00-00,46200,46600,45000,45350,12872916
390,2019-08-16 06:00-00,46200,46600,45000,45350,12872916
391,2019-08-16 07:00-00,46200,46600,45000,45350,12872916
392,2019-08-16 08:00-00,46200,46600,45000,45350,12872916
393,2019-08-16 09:00-00,46200,46600,45000,45350,12872916
394,2019-08-16 10:00-00,46200,46600,45000,45350,12872916
395,2019-08-16 11:00-00,46200,46600,45000,45350,12872916
396,2019-08-16 12:00-00,46200,46600,45000,45350,12872916
397,2019-08-16 13:00-00,46200,46600,45000,45350,12872916
398,2019-08-16 14:00-00,46200,46600,45000,45350,12872916
399,2019-08-16 15:00-00,46200,46600,45000,45350,12872916
400,2019-08-16 16:00-00,46200,46600,45000,45350,12872916
401,2019-08-16 17:00-00,46200,46600,45000,45350,12872916
402,2019-08-16 18:00-00,46200,46600,45000,45350,12872916
403,2019-08-16 19:00-00,46200,46600,45000,45350,12872916
404,2019-08-16 20:00-00,46200,46600,45000,45350,12872916
405,2019-08-16 21:00-00,46200,46600,45000,45350,12872916
406,2019-08-16 22:00-00,46200,46600,45000,45350,12872916
407,2019-08-16 23:00-00,46200,46600,45000,45350,12872916
408,2019-08-17 00:00-00,46200,46600,45000,45350,12872916
409,2019-08-17 01:00-00,46200,46600,45000,45350,12872916
410,2019-08-17 02:00-00,46200,46600,45000,45350,12872916
411,2019-08-17 03:00-00,46200,46600,45000,45350,12872916
412,2019-08-17 04:00-00,46200,46600,45000,45350,12872916
413,2019-08-17 05:00-00,46200,46600,45000,45350,12872916
414,2019-08-17 06:00-00,46200,46600,45000,45350,12872916
415,2019-08-17 07:00-00,46200,46600,45000,45350,12872916
416,2019-08-17 08:00-00,46200,46600,45000,45350,12872916
417,2019-08-17 09:00-00,46200,46600,45000,45350,12872916
418,2019-08-17 10:00-00,46200,46600,45000,45350,12872916
419,2019-08-17 11:00-00,46200,46600,45000,45350,12872916
420,2019-08-17 12:00-00,46200,46600,45000,45350,12872916
421,2019-08-17 13:00-00,46200,46600,45000,45350,12872916
422,2019-08-17 14:00-00,46200,46600,45000,45350,12872916
423,2019-08-17 15:00-00,46200,46600,45000,45350,12872916
424,2019-08-17 16:00-00,46200,46600,45000,45350,12872916
425,2019-08-17 17:00-00,46200,46600,45000,45350,12872916
426,2019-08-17 18:00-00,46200,46600,45000,45350,12872916
427,2019-08-17 19:00-00,46200,46600,45000,45350,12872916
428,2019-08-17 20:00-00,46200,46600,45000,45350,12872916
429,2019-08-17 21:00-00,46200,46600,45000,45350,12872916
430,2019-08-17 22:00-00,46200,46600,45000,45350,12872916
431,2019-08-17 23:00-00,46200,46600,45000,45350,12872916
432,2019-08-18 00:00-00,46200,46600,45000,45350,12872916
433,2019-08-18 01:00-00,46200,46600,45000,45350,12872916
434,2019-08-18 02:00-00,46200,46600,45000,45350,12872916
435,2019-08-18 03:00-00,46200,46600,45000,45350,12872916
436,2019-08-18 04:00-00,46200,46600,45000,45350,12872916
437,2019-08-18 05:00-00,46200,46600,45000,45350,12872916
438,2019-08-18 06:00-00,46200,46600,45000,45350,12872916
439,2019-08-18 07:00-00,46200,46600,45000,45350,12872916
440,2019-08-18 08:00-00,46200,46600,45000,45350,12872916
441,2019-08-18 09:00-00,46200,46600,45000,45350,12872916
442,2019-08-18 10:00-00,46200,46600,45000,45350,12872916
443,2019-08-18 11:00-00,46200,46600,45000,45350,12872916
444,2019-08-18 12:00-00,46200,46600,45000,45350,12872916
445,2019-08-18 13:00-00,46200,46600,45000,45350,12872916
446,2019-08-18 14:00-00,46200,46600,45000,45350,12872916
447,2019-08-18 15:00-00,46200,46600,45000,45350,12872916
448,2019-08-18 16:00-00,46200,46600,45000,45350,12872916
